ukrball100;mathball100;physball100;year
143;155;145;2018
107;100;0;2018
179;188;189;2018
186;189;187;2018
185;200;189;2018
139;0;0;2018
119;0;113;2018
159;152;0;2018
192;173;143;2018
135;131;113;2018
102;0;125;2018
147;173;163;2018
177;172;163;2018
121;133;104;2018
145;133;145;2018
194;192;193;2018
166;178;152;2018
112;129;131;2018
126;104;117;2018
190;177;149;2018
182;173;161;2018
104;0;121;2018
183;192;186;2018
191;193;178;2018
189;192;178;2018
142;117;121;2018
190;166;161;2018
168;177;0;2018
0;104;104;2018
143;127;113;2018
180;198;190;2018
138;144;125;2018
132;114;125;2018
0;117;100;2018
102;114;100;2018
158;133;113;2018
178;168;135;2018
176;172;155;2018
168;161;0;2018
0;127;0;2018
167;166;145;2018
0;107;0;2018
112;124;138;2018
118;0;113;2018
170;164;153;2018
152;161;143;2018
139;114;117;2018
186;178;128;2018
0;107;113;2018
169;117;121;2018
152;107;145;2018
0;0;117;2018
192;185;183;2018
173;150;125;2018
136;153;113;2018
158;107;143;2018
136;100;0;2018
145;100;100;2018
178;119;0;2018
185;196;191;2018
171;140;152;2018
142;144;117;2018
148;0;0;2018
143;188;152;2018
116;124;0;2018
146;104;147;2018
114;142;109;2018
124;117;135;2018
147;153;147;2018
166;178;149;2018
114;0;0;2018
141;119;113;2018
139;127;131;2018
129;182;140;2018
135;111;0;2018
189;183;181;2018
141;146;131;2018
102;107;138;2018
0;0;0;2018
159;164;117;2018
196;195;171;2018
119;124;100;2018
182;150;164;2018
185;197;191;2018
184;195;190;2018
155;157;121;2018
190;177;164;2018
187;185;163;2018
179;163;135;2018
185;144;113;2018
170;136;125;2018
0;122;104;2018
167;168;143;2018
114;107;109;2018
193;189;194;2018
136;117;0;2018
119;127;113;2018
160;150;157;2018
184;170;135;2018
118;0;100;2018
136;140;140;2018
191;182;152;2018
189;173;155;2018
146;173;164;2018
146;146;145;2018
182;173;161;2018
159;164;152;2018
178;148;128;2018
102;100;0;2018
168;104;0;2018
141;152;117;2018
160;192;147;2018
121;122;131;2018
174;185;166;2018
138;117;104;2018
116;133;117;2018
180;163;109;2018
156;144;0;2018
165;144;121;2018
119;0;100;2018
138;166;140;2018
109;0;113;2018
132;107;113;2018
146;122;117;2018
114;100;100;2018
121;129;131;2018
119;133;113;2018
0;0;109;2018
148;142;140;2018
170;177;161;2018
142;146;145;2018
166;168;117;2018
0;0;0;2018
171;186;195;2018
143;129;145;2018
175;155;157;2018
180;142;172;2018
100;114;109;2018
190;199;195;2018
146;142;104;2018
168;172;135;2018
188;157;128;2018
171;186;177;2018
192;200;190;2018
186;142;163;2018
126;133;109;2018
189;195;175;2018
111;107;0;2018
159;164;168;2018
139;107;131;2018
195;192;191;2018
131;140;147;2018
129;114;140;2018
114;148;138;2018
185;178;149;2018
139;122;131;2018
176;192;193;2018
190;188;153;2018
147;0;113;2018
195;196;169;2018
157;124;0;2018
118;107;100;2018
166;185;152;2018
188;183;172;2018
131;0;104;2018
176;188;163;2018
119;100;100;2018
116;0;0;2018
121;107;0;2018
170;163;138;2018
136;122;140;2018
170;191;169;2018
194;198;190;2018
107;0;109;2018
178;191;147;2018
166;122;135;2018
116;104;0;2018
0;0;121;2018
109;0;104;2018
141;100;0;2018
157;142;128;2018
167;163;140;2018
183;193;193;2018
155;133;135;2018
181;164;155;2018
152;127;113;2018
134;170;131;2018
116;111;117;2018
157;159;117;2018
192;175;135;2018
190;188;195;2018
171;189;140;2018
118;119;113;2018
146;142;147;2018
123;129;104;2018
142;124;140;2018
145;157;147;2018
171;155;109;2018
129;127;109;2018
196;188;169;2018
145;157;140;2018
0;0;0;2018
171;175;147;2018
170;192;180;2018
179;172;175;2018
188;186;166;2018
180;197;191;2018
127;114;100;2018
118;100;109;2018
157;161;166;2018
191;195;199;2018
186;182;152;2018
111;0;109;2018
146;164;131;2018
184;175;155;2018
124;0;100;2018
147;104;147;2018
165;124;140;2018
152;122;109;2018
158;155;138;2018
148;153;100;2018
136;0;100;2018
191;188;186;2018
0;114;0;2018
192;196;0;2018
143;119;0;2018
107;117;125;2018
190;191;191;2018
153;175;175;2018
135;122;113;2018
151;140;147;2018
121;107;109;2018
121;107;128;2018
